ÏñÔª	¹âÇ¿
1	147
2	146
3	145
4	146
5	145
6	146
7	145
8	146
9	147
10	148
11	148
12	148
13	147
14	146
15	146
16	147
17	146
18	146
19	148
20	147
21	149
22	149
23	149
24	149
25	150
26	150
27	150
28	151
29	151
30	151
31	150
32	150
33	151
34	150
35	150
36	151
37	151
38	151
39	149
40	151
41	152
42	154
43	153
44	154
45	152
46	152
47	152
48	151
49	151
50	151
51	152
52	154
53	154
54	156
55	156
56	153
57	152
58	153
59	152
60	153
61	154
62	154
63	155
64	154
65	155
66	155
67	155
68	155
69	155
70	155
71	154
72	154
73	155
74	156
75	155
76	155
77	156
78	154
79	155
80	153
81	152
82	152
83	153
84	153
85	153
86	153
87	154
88	152
89	154
90	153
91	152
92	153
93	154
94	154
95	155
96	156
97	157
98	158
99	158
100	157
101	157
102	155
103	156
104	156
105	156
106	154
107	153
108	154
109	154
110	152
111	152
112	153
113	153
114	152
115	152
116	151
117	152
118	153
119	152
120	150
121	150
122	151
123	152
124	154
125	154
126	154
127	155
128	155
129	155
130	156
131	157
132	156
133	159
134	159
135	161
136	161
137	162
138	161
139	162
140	161
141	162
142	163
143	163
144	163
145	163
146	160
147	158
148	157
149	155
150	155
151	156
152	156
153	155
154	155
155	156
156	154
157	154
158	153
159	155
160	157
161	157
162	158
163	159
164	158
165	159
166	159
167	158
168	156
169	156
170	157
171	156
172	156
173	156
174	155
175	156
176	156
177	158
178	159
179	157
180	156
181	156
182	156
183	158
184	157
185	158
186	159
187	161
188	160
189	158
190	157
191	157
192	155
193	155
194	153
195	154
196	156
197	157
198	158
199	158
200	157
201	157
202	157
203	157
204	157
205	159
206	158
207	159
208	158
209	160
210	161
211	161
212	161
213	161
214	161
215	162
216	162
217	162
218	160
219	158
220	157
221	156
222	155
223	156
224	156
225	157
226	158
227	158
228	160
229	161
230	161
231	162
232	163
233	163
234	162
235	163
236	162
237	161
238	162
239	161
240	161
241	160
242	160
243	160
244	160
245	160
246	160
247	158
248	159
249	160
250	159
251	159
252	161
253	160
254	161
255	160
256	162
257	162
258	163
259	164
260	163
261	163
262	162
263	162
264	161
265	162
266	161
267	162
268	162
269	161
270	161
271	161
272	161
273	160
274	160
275	161
276	162
277	164
278	167
279	168
280	169
281	170
282	171
283	169
284	168
285	165
286	165
287	166
288	164
289	165
290	166
291	166
292	167
293	168
294	168
295	168
296	167
297	168
298	168
299	169
300	169
301	171
302	172
303	173
304	173
305	173
306	172
307	174
308	172
309	172
310	172
311	172
312	171
313	169
314	168
315	166
316	166
317	168
318	168
319	166
320	167
321	167
322	166
323	166
324	165
325	164
326	165
327	163
328	163
329	162
330	162
331	163
332	163
333	165
334	166
335	168
336	166
337	166
338	167
339	166
340	164
341	164
342	163
343	162
344	163
345	166
346	167
347	166
348	166
349	166
350	164
351	164
352	161
353	158
354	155
355	151
356	146
357	140
358	131
359	123
360	110
361	 98
362	 86
363	 75
364	 64
365	 52
366	 44
367	 39
368	 37
369	 36
370	 35
371	 35
372	 35
373	 34
374	 34
375	 34
376	 35
377	 36
378	 38
379	 40
380	 42
381	 44
382	 46
383	 48
384	 53
385	 57
386	 62
387	 68
388	 78
389	 90
390	104
391	116
392	129
393	140
394	150
395	155
396	158
397	158
398	157
399	155
400	153
401	150
402	146
403	140
404	131
405	124
406	114
407	103
408	 93
409	 83
410	 74
411	 61
412	 49
413	 41
414	 36
415	 33
416	 33
417	 34
418	 34
419	 34
420	 34
421	 35
422	 36
423	 37
424	 38
425	 38
426	 37
427	 39
428	 41
429	 45
430	 48
431	 51
432	 57
433	 63
434	 69
435	 78
436	 89
437	103
438	116
439	126
440	137
441	148
442	155
443	160
444	162
445	165
446	166
447	167
448	168
449	170
450	172
451	173
452	172
453	173
454	173
455	174
456	173
457	173
458	174
459	175
460	174
461	176
462	175
463	175
464	174
465	173
466	173
467	173
468	172
469	173
470	173
471	173
472	172
473	172
474	171
475	171
476	170
477	171
478	168
479	172
480	172
481	174
482	173
483	174
484	173
485	173
486	174
487	175
488	174
489	173
490	171
491	168
492	165
493	164
494	163
495	159
496	152
497	146
498	139
499	130
500	121
501	109
502	 93
503	 82
504	 72
505	 63
506	 55
507	 48
508	 42
509	 40
510	 38
511	 39
512	 38
513	 36
514	 34
515	 33
516	 33
517	 34
518	 35
519	 37
520	 40
521	 42
522	 44
523	 47
524	 51
525	 55
526	 60
527	 66
528	 71
529	 79
530	 87
531	 97
532	109
533	122
534	131
535	139
536	144
537	149
538	152
539	154
540	153
541	152
542	150
543	148
544	142
545	137
546	128
547	120
548	109
549	 97
550	 85
551	 76
552	 69
553	 58
554	 47
555	 39
556	 35
557	 34
558	 35
559	 35
560	 33
561	 32
562	 31
563	 30
564	 30
565	 31
566	 31
567	 32
568	 31
569	 30
570	 31
571	 31
572	 31
573	 31
574	 31
575	 31
576	 31
577	 33
578	 32
579	 33
